Year,District,Fertilizer CONSUMPTION (tons)
2000,Damoh,7169
2001,Damoh,8262
2002,Damoh,9470
2003,Damoh,9496
2004,Damoh,10650
2005,Damoh,7615
2006,Damoh,10838
2007,Damoh,9759
2008,Damoh,14265
2009,Damoh,14641
2010,Damoh,16827
2011,Damoh,17648
2012,Damoh,23620
2013,Damoh,16290
2014,Damoh,15835
2015,Damoh,18668
2016,Damoh,17001
2017,Damoh,20283
1966,Tikamgarh,857
1967,Tikamgarh,1931
1968,Tikamgarh,1553
1969,Tikamgarh,2267
1970,Tikamgarh,3292
1971,Tikamgarh,4798
1972,Tikamgarh,6524
1973,Tikamgarh,3688
1974,Tikamgarh,3940
1975,Tikamgarh,3896
1976,Tikamgarh,5215
1977,Tikamgarh,4914
1978,Tikamgarh,6513
1979,Tikamgarh,3244
1980,Tikamgarh,4914
1981,Tikamgarh,6060
1982,Tikamgarh,9261
1983,Tikamgarh,11015
1984,Tikamgarh,11668
1985,Tikamgarh,14478
1986,Tikamgarh,8804
1987,Tikamgarh,13383
1988,Tikamgarh,16923
1989,Tikamgarh,8720
1990,Tikamgarh,17502
1991,Tikamgarh,16590
1992,Tikamgarh,14269
1993,Tikamgarh,15892
1994,Tikamgarh,14382
1995,Tikamgarh,14382
1996,Tikamgarh,14382
1997,Tikamgarh,15527
1998,Tikamgarh,21367
1999,Tikamgarh,22401
2000,Tikamgarh,20770
2001,Tikamgarh,17038
2002,Tikamgarh,15513
2003,Tikamgarh,21058
2004,Tikamgarh,16243
2005,Tikamgarh,12164
2006,Tikamgarh,11691
2007,Tikamgarh,6865
2008,Tikamgarh,29857
2009,Tikamgarh,20275
2010,Tikamgarh,20478
2011,Tikamgarh,19683
2012,Tikamgarh,24958
2013,Tikamgarh,21795
2014,Tikamgarh,17880
2015,Tikamgarh,13882
2016,Tikamgarh,18657
2017,Tikamgarh,12317
1966,Chhatarpur,285
1967,Chhatarpur,1254
1968,Chhatarpur,867
1969,Chhatarpur,1502
1970,Chhatarpur,2218
1971,Chhatarpur,2682
1972,Chhatarpur,3207
1973,Chhatarpur,1737
1974,Chhatarpur,1485
1975,Chhatarpur,1459
1976,Chhatarpur,1544
1977,Chhatarpur,1690
1978,Chhatarpur,2669
1979,Chhatarpur,1338
1980,Chhatarpur,2860
1981,Chhatarpur,3882
1982,Chhatarpur,3693
1983,Chhatarpur,4736
1984,Chhatarpur,5038
1985,Chhatarpur,5809
1986,Chhatarpur,4661
1987,Chhatarpur,7053
1988,Chhatarpur,8109
1989,Chhatarpur,5992
1990,Chhatarpur,11342
1991,Chhatarpur,9577
1992,Chhatarpur,10872
1993,Chhatarpur,12183
1994,Chhatarpur,10803
1995,Chhatarpur,10803
1996,Chhatarpur,10803
1997,Chhatarpur,14522
1998,Chhatarpur,19156
1999,Chhatarpur,18337
2000,Chhatarpur,17337
2001,Chhatarpur,15883
2002,Chhatarpur,14966
2003,Chhatarpur,24560
2004,Chhatarpur,27135
2005,Chhatarpur,19333
2006,Chhatarpur,17464
2007,Chhatarpur,13108
2008,Chhatarpur,35109
2009,Chhatarpur,24537
2010,Chhatarpur,30001
2011,Chhatarpur,30646
