Year,District,Fertilizer CONSUMPTION (tons)
1999,Kangra,16221
2000,Kangra,14737
2001,Kangra,15101
2002,Kangra,14911
2003,Kangra,17504
2004,Kangra,18108
2005,Kangra,17767
2006,Kangra,18563
2007,Kangra,18244
2008,Kangra,21311
2009,Kangra,19621
2010,Kangra,19061
2011,Kangra,18832
2012,Kangra,17667
2013,Kangra,18258
2014,Kangra,19358
2015,Kangra,19442
2016,Kangra,17702
2017,Kangra,18354
1968,Kinnaur,11
1969,Kinnaur,22
1970,Kinnaur,26
1971,Kinnaur,-1
1973,Kinnaur,32
1974,Kinnaur,24
1975,Kinnaur,34
1976,Kinnaur,54
1978,Kinnaur,106
1979,Kinnaur,83
1980,Kinnaur,68
1981,Kinnaur,68
1982,Kinnaur,80
1983,Kinnaur,-1
1984,Kinnaur,95
1985,Kinnaur,91
1986,Kinnaur,98
1987,Kinnaur,108
1988,Kinnaur,188
1989,Kinnaur,149
1990,Kinnaur,172
1991,Kinnaur,102
1992,Kinnaur,93
1993,Kinnaur,24
1994,Kinnaur,88
1995,Kinnaur,0
1996,Kinnaur,116
1997,Kinnaur,139
1998,Kinnaur,153
1999,Kinnaur,156
2000,Kinnaur,94
2001,Kinnaur,116
2002,Kinnaur,137
2003,Kinnaur,185
2004,Kinnaur,136
2005,Kinnaur,187
2006,Kinnaur,198
2007,Kinnaur,172
2008,Kinnaur,299
2009,Kinnaur,288
2010,Kinnaur,251
2011,Kinnaur,267
2012,Kinnaur,216
2013,Kinnaur,222
2014,Kinnaur,245
2015,Kinnaur,264
2016,Kinnaur,287
2017,Kinnaur,264
1968,Kullu,152
1969,Kullu,122
1970,Kullu,109
1971,Kullu,-1
1973,Kullu,304
1974,Kullu,267
1975,Kullu,293
1976,Kullu,459
1978,Kullu,463
1979,Kullu,601
1980,Kullu,823
1981,Kullu,823
1982,Kullu,419
1983,Kullu,-1
1984,Kullu,860
1985,Kullu,1385
1986,Kullu,1508
1987,Kullu,1506
1988,Kullu,1918
1989,Kullu,2147
1990,Kullu,2339
1991,Kullu,1927
1992,Kullu,1706
1993,Kullu,1364
1994,Kullu,1144
1995,Kullu,1375
1996,Kullu,1503
1997,Kullu,1870
1998,Kullu,2132
1999,Kullu,1559
2000,Kullu,1658
2001,Kullu,2477
2002,Kullu,2655
2003,Kullu,3233
2004,Kullu,3273
2005,Kullu,3795
2006,Kullu,3649
2007,Kullu,3983
2008,Kullu,4369
2009,Kullu,4684
2010,Kullu,5050
2011,Kullu,4078
2012,Kullu,4075
2013,Kullu,4211
2014,Kullu,4414
2015,Kullu,5508
2016,Kullu,5943
2017,Kullu,6052
1968,Lahul & Spiti,0
1969,Lahul & Spiti,0
1970,Lahul & Spiti,0
1971,Lahul & Spiti,0
1973,Lahul & Spiti,0
1974,Lahul & Spiti,0
1975,Lahul & Spiti,0
1976,Lahul & Spiti,0
1978,Lahul & Spiti,293
1979,Lahul & Spiti,168
1980,Lahul & Spiti,204
1981,Lahul & Spiti,204
1982,Lahul & Spiti,512
1983,Lahul & Spiti,-1
1984,Lahul & Spiti,264
1985,Lahul & Spiti,330
1986,Lahul & Spiti,302
1987,Lahul & Spiti,386
1988,Lahul & Spiti,347
1989,Lahul & Spiti,381
1990,Lahul & Spiti,546
1991,Lahul & Spiti,306
1992,Lahul & Spiti,282
1993,Lahul & Spiti,201
1994,Lahul & Spiti,251
1995,Lahul & Spiti,172
1996,Lahul & Spiti,192
1997,Lahul & Spiti,255
1998,Lahul & Spiti,268
1999,Lahul & Spiti,276
2000,Lahul & Spiti,225
2001,Lahul & Spiti,218
2002,Lahul & Spiti,359
2003,Lahul & Spiti,309
2004,Lahul & Spiti,291
2005,Lahul & Spiti,322
2006,Lahul & Spiti,354
2007,Lahul & Spiti,405
2008,Lahul & Spiti,419
2009,Lahul & Spiti,429
2010,Lahul & Spiti,409
2011,Lahul & Spiti,410
2012,Lahul & Spiti,346
2013,Lahul & Spiti,394
2014,Lahul & Spiti,453
2015,Lahul & Spiti,458
2016,Lahul & Spiti,520
2017,Lahul & Spiti,474
1968,Solan,0
1969,Solan,0
1970,Solan,0
1971,Solan,-1
1973,Solan,253
1974,Solan,0
1975,Solan,381
1976,Solan,717
1978,Solan,632
1979,Solan,1076
1980,Solan,1437
1981,Solan,1437
1982,Solan,1849
1983,Solan,-1
1984,Solan,1695
1985,Solan,2046
1986,Solan,2194
1987,Solan,1950
1988,Solan,1737
1989,Solan,2523
1990,Solan,2903
1991,Solan,2641
1992,Solan,2937
1993,Solan,2168
1994,Solan,2532
1995,Solan,2408
1996,Solan,2664
1997,Solan,3034
1998,Solan,3264
1999,Solan,3399
2000,Solan,2396
2001,Solan,3418
2002,Solan,2810
2003,Solan,3766
2004,Solan,3510
2005,Solan,3691
2006,Solan,4037
2007,Solan,3855
2008,Solan,4696
2009,Solan,4014
2010,Solan,4066
2011,Solan,4058
2012,Solan,3678
2013,Solan,4021
2014,Solan,3798
2015,Solan,3825
2016,Solan,3407
2017,Solan,3156
1968,Mandi,991
1969,Mandi,884
1970,Mandi,1535
1971,Mandi,-1
1973,Mandi,1626
1974,Mandi,1319
1975,Mandi,3369
1976,Mandi,1458
1978,Mandi,1759
1979,Mandi,2298
1980,Mandi,2034
1981,Mandi,2034
1982,Mandi,3151
1983,Mandi,-1
1984,Mandi,3116
1985,Mandi,3620
1986,Mandi,3700
1987,Mandi,3675
1988,Mandi,4283
1989,Mandi,4591
1990,Mandi,5035
1991,Mandi,4949
1992,Mandi,4473
1993,Mandi,4088
1994,Mandi,4280
1995,Mandi,4636
1996,Mandi,4889
1997,Mandi,5271
1998,Mandi,5764
1999,Mandi,5405
2000,Mandi,4625
2001,Mandi,5847
2002,Mandi,5782
2003,Mandi,6645
2004,Mandi,6430
2005,Mandi,6161
2006,Mandi,6603
2007,Mandi,6428
2008,Mandi,6502
2009,Mandi,5689
2010,Mandi,6646
2011,Mandi,6346
2012,Mandi,5533
2013,Mandi,6183
2014,Mandi,6002
2015,Mandi,6646
2016,Mandi,6422
2017,Mandi,6422
1968,Shimla,1155
1969,Shimla,513
1970,Shimla,1022
1971,Shimla,-1
1973,Shimla,1656
1974,Shimla,1315
1975,Shimla,936
1976,Shimla,1049
1978,Shimla,1318
1979,Shimla,1957
1980,Shimla,2129
1981,Shimla,2129
1982,Shimla,2674
1983,Shimla,-1
1984,Shimla,3022
1985,Shimla,2758
1986,Shimla,3536
1987,Shimla,4799
1988,Shimla,4574
1989,Shimla,5242
1990,Shimla,5427
1991,Shimla,4877
1992,Shimla,3441
1993,Shimla,4036
1994,Shimla,3248
1995,Shimla,3615
1996,Shimla,4595
1997,Shimla,4623
1998,Shimla,5879
1999,Shimla,4748
2000,Shimla,5783
2001,Shimla,7386
2002,Shimla,8032
2003,Shimla,9070
2004,Shimla,8360
2005,Shimla,9550
2006,Shimla,9172
2007,Shimla,10353
2008,Shimla,12452
2009,Shimla,12183
2010,Shimla,12475
2011,Shimla,10080
2012,Shimla,9388
2013,Shimla,9467
2014,Shimla,11000
2015,Shimla,13182
2016,Shimla,14655
2017,Shimla,15050
1968,Sirmaur,205
1969,Sirmaur,96
1970,Sirmaur,460
1971,Sirmaur,-1
1973,Sirmaur,445
1974,Sirmaur,450
1975,Sirmaur,463
1976,Sirmaur,641
1978,Sirmaur,940
1979,Sirmaur,580
1980,Sirmaur,811
1981,Sirmaur,811
1982,Sirmaur,1068
1983,Sirmaur,-1
1984,Sirmaur,1288
1985,Sirmaur,1348
1986,Sirmaur,1606
1987,Sirmaur,1354
1988,Sirmaur,2433
1989,Sirmaur,1867
1990,Sirmaur,2103
1991,Sirmaur,2335
1992,Sirmaur,1977
1993,Sirmaur,1774
1994,Sirmaur,1978
1995,Sirmaur,1959
1996,Sirmaur,2007
1997,Sirmaur,2090
1998,Sirmaur,2309
1999,Sirmaur,2337
2000,Sirmaur,3298
2001,Sirmaur,2484
2002,Sirmaur,2339
2003,Sirmaur,2739
2004,Sirmaur,2806
2005,Sirmaur,2948
2006,Sirmaur,3159
2007,Sirmaur,3317
2008,Sirmaur,3555
2009,Sirmaur,3284
2010,Sirmaur,3569
2011,Sirmaur,3719
2012,Sirmaur,3403
2013,Sirmaur,4050
2014,Sirmaur,4225
2015,Sirmaur,4519
2016,Sirmaur,4358
2017,Sirmaur,4427
1968,Alappuzha,10547
1969,Alappuzha,7947
1970,Alappuzha,8196
1971,Alappuzha,9429
1972,Alappuzha,-1
1973,Alappuzha,11343
1974,Alappuzha,11790
1975,Alappuzha,9060
1976,Alappuzha,10190
1977,Alappuzha,11480
1978,Alappuzha,12067
1979,Alappuzha,13542
1980,Alappuzha,13694
1981,Alappuzha,13694
1982,Alappuzha,13294
1983,Alappuzha,14200
1984,Alappuzha,11912
1985,Alappuzha,10271
1986,Alappuzha,12241
1987,Alappuzha,11596
1988,Alappuzha,13442
1989,Alappuzha,14047
1990,Alappuzha,15203
1991,Alappuzha,10928
1992,Alappuzha,10865
1993,Alappuzha,10814
1994,Alappuzha,12501
1995,Alappuzha,10700
1996,Alappuzha,10220
1997,Alappuzha,10521
1998,Alappuzha,9467
1999,Alappuzha,12818
2000,Alappuzha,11133
2001,Alappuzha,11630
2002,Alappuzha,17186
2003,Alappuzha,11926
2004,Alappuzha,11162
2005,Alappuzha,8910
2006,Alappuzha,9443
2007,Alappuzha,10844
2008,Alappuzha,14363
2009,Alappuzha,14954
2010,Alappuzha,14544
2011,Alappuzha,16027
2012,Alappuzha,15252
2013,Alappuzha,15680
2014,Alappuzha,12444
2015,Alappuzha,15998
2016,Alappuzha,9165
2017,Alappuzha,14963
1968,Kannur,4034
1969,Kannur,3868
1970,Kannur,3586
1971,Kannur,4314
1972,Kannur,-1
1973,Kannur,5686
1974,Kannur,4268
1975,Kannur,4047
1976,Kannur,5555
1977,Kannur,7060
1978,Kannur,8348
1979,Kannur,8984
1980,Kannur,8576
1981,Kannur,8576
1982,Kannur,7851
1983,Kannur,10970
1984,Kannur,11932
1985,Kannur,15260
1986,Kannur,17367
1987,Kannur,20855
1988,Kannur,20587
1989,Kannur,20387
1990,Kannur,21553
1991,Kannur,21866
1992,Kannur,22079
1993,Kannur,16704
1994,Kannur,21655
1995,Kannur,19964
1996,Kannur,18593
1997,Kannur,20891
1998,Kannur,17903
1999,Kannur,20695
2000,Kannur,15849
2001,Kannur,14486
2002,Kannur,15945
2003,Kannur,16661
2004,Kannur,16507
2005,Kannur,16321
2006,Kannur,18279
2007,Kannur,21352
2008,Kannur,24509
2009,Kannur,28873
2010,Kannur,25575
2011,Kannur,31637
2012,Kannur,28731
2013,Kannur,24363
2014,Kannur,21152
2015,Kannur,26923
2016,Kannur,17932
2017,Kannur,23806
1968,Eranakulam,6441
1969,Eranakulam,5625
1970,Eranakulam,7516
1971,Eranakulam,7381
1972,Eranakulam,-1
1973,Eranakulam,9138
1974,Eranakulam,6831
1975,Eranakulam,5690
1976,Eranakulam,6308
1977,Eranakulam,7530
1978,Eranakulam,9781
1979,Eranakulam,9987
1980,Eranakulam,9263
1981,Eranakulam,9263
1982,Eranakulam,7787
1983,Eranakulam,13860
1984,Eranakulam,12221
1985,Eranakulam,14884
1986,Eranakulam,16439
1987,Eranakulam,20324
1988,Eranakulam,25263
1989,Eranakulam,23380
1990,Eranakulam,27555
1991,Eranakulam,25790
1992,Eranakulam,21890
1993,Eranakulam,21504
1994,Eranakulam,24483
1995,Eranakulam,25836
1996,Eranakulam,22770
1997,Eranakulam,28193
1998,Eranakulam,21569
1999,Eranakulam,24388
2000,Eranakulam,20954
2001,Eranakulam,19543
2002,Eranakulam,27285
2003,Eranakulam,27730
2004,Eranakulam,30968
2005,Eranakulam,32190
2006,Eranakulam,34852
2007,Eranakulam,29870
2008,Eranakulam,30969
2009,Eranakulam,29470
2010,Eranakulam,34221
2011,Eranakulam,39406
2012,Eranakulam,32350
2013,Eranakulam,32286
2014,Eranakulam,27884
2015,Eranakulam,32441
2016,Eranakulam,29868
2017,Eranakulam,33948
1968,Kottayam,14639
1969,Kottayam,14194
1970,Kottayam,11488
1971,Kottayam,12088
1972,Kottayam,-1
1973,Kottayam,12533
1974,Kottayam,9676
1975,Kottayam,8603
1976,Kottayam,10988
1977,Kottayam,13250
1978,Kottayam,17933
1979,Kottayam,18723
1980,Kottayam,16873
1981,Kottayam,16873
1982,Kottayam,15488
1983,Kottayam,23190
1984,Kottayam,21929
1985,Kottayam,23237
1986,Kottayam,22200
1987,Kottayam,32344
1988,Kottayam,44188
1989,Kottayam,46230
1990,Kottayam,51538
1991,Kottayam,46704
1992,Kottayam,38897
1993,Kottayam,37446
1994,Kottayam,46045
1995,Kottayam,45104
1996,Kottayam,37085
1997,Kottayam,47430
1998,Kottayam,38861
1999,Kottayam,45773
2000,Kottayam,36987
2001,Kottayam,39330
2002,Kottayam,40998
2003,Kottayam,39145
2004,Kottayam,41785
2005,Kottayam,41055
2006,Kottayam,41916
2007,Kottayam,44495
2008,Kottayam,57078
2009,Kottayam,58627
2010,Kottayam,64355
2011,Kottayam,59875
2012,Kottayam,57047
2013,Kottayam,55349
2014,Kottayam,38510
2015,Kottayam,39908
2016,Kottayam,35909
2017,Kottayam,47565
1968,Kozhikode,8590
1969,Kozhikode,7078
1970,Kozhikode,4176
1971,Kozhikode,4470
1972,Kozhikode,-1
1973,Kozhikode,5908
1974,Kozhikode,4251
1975,Kozhikode,3404
1976,Kozhikode,4888
1977,Kozhikode,7040
1978,Kozhikode,9742
1979,Kozhikode,9927
1980,Kozhikode,8491
1981,Kozhikode,8491
1982,Kozhikode,14273
1983,Kozhikode,12360
1984,Kozhikode,11790
1985,Kozhikode,12978
1986,Kozhikode,13791
1987,Kozhikode,18217
1988,Kozhikode,24800
1989,Kozhikode,24317
1990,Kozhikode,24648
1991,Kozhikode,25561
1992,Kozhikode,23644
1993,Kozhikode,18197
1994,Kozhikode,22371
1995,Kozhikode,23386
1996,Kozhikode,22921
1997,Kozhikode,24886
1998,Kozhikode,20494
1999,Kozhikode,24843
2000,Kozhikode,16725
2001,Kozhikode,18021
2002,Kozhikode,20109
2003,Kozhikode,21072
2004,Kozhikode,22632
2005,Kozhikode,22783
2006,Kozhikode,26544
2007,Kozhikode,22534
2008,Kozhikode,28400
2009,Kozhikode,28871
2010,Kozhikode,30011
2011,Kozhikode,33210
2012,Kozhikode,32634
2013,Kozhikode,29506
2014,Kozhikode,22613
2015,Kozhikode,23447
2016,Kozhikode,20139
2017,Kozhikode,20392
1968,Malappuram,0
1969,Malappuram,292
1970,Malappuram,2508
1971,Malappuram,3713
1972,Malappuram,-1
1973,Malappuram,5533
1974,Malappuram,4637
1975,Malappuram,4406
1976,Malappuram,4236
1977,Malappuram,5330
1978,Malappuram,6137
1979,Malappuram,6602
1980,Malappuram,6217
1981,Malappuram,6217
1982,Malappuram,7106
1983,Malappuram,8390
1984,Malappuram,8840
1985,Malappuram,9901
1986,Malappuram,10686
1987,Malappuram,12994
1988,Malappuram,12601
1989,Malappuram,11241
1990,Malappuram,13864
1991,Malappuram,9111
1992,Malappuram,12676
1993,Malappuram,11746
1994,Malappuram,14402
1995,Malappuram,11070
1996,Malappuram,13756
1997,Malappuram,15168
1998,Malappuram,10759
1999,Malappuram,15271
2000,Malappuram,10349
2001,Malappuram,13583
2002,Malappuram,12211
2003,Malappuram,11600
2004,Malappuram,11996
2005,Malappuram,13903
2006,Malappuram,13293
2007,Malappuram,12042
2008,Malappuram,16031
2009,Malappuram,14934
2010,Malappuram,16467
2011,Malappuram,19487
2012,Malappuram,18110
2013,Malappuram,19088
2014,Malappuram,17797
2015,Malappuram,15898
2016,Malappuram,13353
2017,Malappuram,18013
1968,Palakkad,7652
1969,Palakkad,6232
1970,Palakkad,5176
1971,Palakkad,7601
1972,Palakkad,-1
1973,Palakkad,12419
1974,Palakkad,10820
1975,Palakkad,11122
1976,Palakkad,10603
1977,Palakkad,11650
1978,Palakkad,13477
1979,Palakkad,7988
1980,Palakkad,13804
1981,Palakkad,13804
1982,Palakkad,15743
1983,Palakkad,20070
1984,Palakkad,17960
1985,Palakkad,18851
1986,Palakkad,19477
1987,Palakkad,19684
1988,Palakkad,24270
1989,Palakkad,24732
1990,Palakkad,28450
1991,Palakkad,27068
1992,Palakkad,25228
1993,Palakkad,23258
1994,Palakkad,25414
1995,Palakkad,25430
1996,Palakkad,22100
1997,Palakkad,27229
1998,Palakkad,26010
1999,Palakkad,28331
2000,Palakkad,26932
2001,Palakkad,26190
2002,Palakkad,35276
2003,Palakkad,26322
2004,Palakkad,28902
2005,Palakkad,25222
2006,Palakkad,27398
2007,Palakkad,27968
2008,Palakkad,40671
2009,Palakkad,37947
2010,Palakkad,38198
2011,Palakkad,38775
2012,Palakkad,33401
2013,Palakkad,35118
2014,Palakkad,26120
2015,Palakkad,27446
2016,Palakkad,21782
2017,Palakkad,40164
1968,Kollam,7005
1969,Kollam,5622
1970,Kollam,4545
1971,Kollam,5101
1972,Kollam,-1
1973,Kollam,5196
1974,Kollam,4090
1975,Kollam,4352
1976,Kollam,4640
1977,Kollam,5330
1978,Kollam,7320
1979,Kollam,7549
1980,Kollam,7096
1981,Kollam,7096
1982,Kollam,9884
1983,Kollam,9490
1984,Kollam,13832
1985,Kollam,16871
1986,Kollam,17690
1987,Kollam,21632
1988,Kollam,22647
1989,Kollam,21756
1990,Kollam,28980
1991,Kollam,21374
1992,Kollam,21235
1993,Kollam,15999
1994,Kollam,19328
1995,Kollam,16980
1996,Kollam,16126
1997,Kollam,16435
1998,Kollam,13544
1999,Kollam,14611
2000,Kollam,12758
2001,Kollam,11582
2002,Kollam,12103
2003,Kollam,12293
2004,Kollam,9756
2005,Kollam,11473
2006,Kollam,10623
2007,Kollam,11407
2008,Kollam,18090
2009,Kollam,19299
2010,Kollam,22112
2011,Kollam,30738
2012,Kollam,25682
2013,Kollam,21794
2014,Kollam,18051
2015,Kollam,18297
2016,Kollam,13667
2017,Kollam,14282
1968,Thrissur,7465
1969,Thrissur,5567
1970,Thrissur,5225
1971,Thrissur,5979
1972,Thrissur,-1
1973,Thrissur,9408
1974,Thrissur,7125
1975,Thrissur,6884
1976,Thrissur,7751
1977,Thrissur,8060
1978,Thrissur,9023
1979,Thrissur,9043
1980,Thrissur,7923
1981,Thrissur,7923
1982,Thrissur,9103
1983,Thrissur,10430
1984,Thrissur,10911
1985,Thrissur,11605
1986,Thrissur,13435
1987,Thrissur,15370
1988,Thrissur,15843
1989,Thrissur,15944
1990,Thrissur,17374
1991,Thrissur,19040
1992,Thrissur,14833
1993,Thrissur,13474
1994,Thrissur,15867
1995,Thrissur,13360
1996,Thrissur,15266
1997,Thrissur,17453
1998,Thrissur,14380
1999,Thrissur,16096
2000,Thrissur,14571
2001,Thrissur,15504
2002,Thrissur,15439
2003,Thrissur,16740
2004,Thrissur,21570
2005,Thrissur,20901
2006,Thrissur,20313
2007,Thrissur,20247
2008,Thrissur,22584
2009,Thrissur,25219
2010,Thrissur,23126
2011,Thrissur,26580
2012,Thrissur,22572
2013,Thrissur,25132
2014,Thrissur,17748
2015,Thrissur,19550
2016,Thrissur,13842
2017,Thrissur,20101
1968,Thiruvananthapuram,4821
1969,Thiruvananthapuram,3658
1970,Thiruvananthapuram,3798
1971,Thiruvananthapuram,4925
1972,Thiruvananthapuram,-1
1973,Thiruvananthapuram,4682
1974,Thiruvananthapuram,3876
1975,Thiruvananthapuram,4103
1976,Thiruvananthapuram,4347
1977,Thiruvananthapuram,4830
1978,Thiruvananthapuram,6036
1979,Thiruvananthapuram,6269
1980,Thiruvananthapuram,5594
1981,Thiruvananthapuram,5594
1982,Thiruvananthapuram,9323
1983,Thiruvananthapuram,6530
1984,Thiruvananthapuram,6248
1985,Thiruvananthapuram,7472
1986,Thiruvananthapuram,8037
1987,Thiruvananthapuram,9474
1988,Thiruvananthapuram,10286
1989,Thiruvananthapuram,10420
1990,Thiruvananthapuram,15215
1991,Thiruvananthapuram,11877
1992,Thiruvananthapuram,11621
1993,Thiruvananthapuram,7689
1994,Thiruvananthapuram,11810
1995,Thiruvananthapuram,11490
1996,Thiruvananthapuram,8741
1997,Thiruvananthapuram,11277
1998,Thiruvananthapuram,8500
1999,Thiruvananthapuram,8536
2000,Thiruvananthapuram,6947
2001,Thiruvananthapuram,7257
2002,Thiruvananthapuram,8096
2003,Thiruvananthapuram,8602
2004,Thiruvananthapuram,7245
2005,Thiruvananthapuram,9696
2006,Thiruvananthapuram,10939
2007,Thiruvananthapuram,7503
2008,Thiruvananthapuram,8202
2009,Thiruvananthapuram,9530
2010,Thiruvananthapuram,14930
2011,Thiruvananthapuram,11445
2012,Thiruvananthapuram,11398
2013,Thiruvananthapuram,8616
2014,Thiruvananthapuram,7177
2015,Thiruvananthapuram,8717
2016,Thiruvananthapuram,4759
2017,Thiruvananthapuram,8748
1966,Balasore,600
1967,Balasore,919
1968,Balasore,954
1969,Balasore,440
1970,Balasore,1075
1971,Balasore,2504
1972,Balasore,2229
1973,Balasore,3371
1974,Balasore,2500
1975,Balasore,5101
1976,Balasore,4516
1977,Balasore,5591
1978,Balasore,6275
1979,Balasore,5295
1980,Balasore,5186
1981,Balasore,5388
1982,Balasore,5396
1983,Balasore,6110
1984,Balasore,8044
1985,Balasore,9878
1986,Balasore,12680
1987,Balasore,12084
1988,Balasore,19164
1989,Balasore,20724
1990,Balasore,25186
1991,Balasore,27716
1992,Balasore,26552
1993,Balasore,31302
1994,Balasore,39164
1995,Balasore,39090
1996,Balasore,41907
1997,Balasore,43950
1998,Balasore,49020
1999,Balasore,55647
2000,Balasore,45308
2001,Balasore,45925
2002,Balasore,38898
2003,Balasore,46260
2004,Balasore,56497
2005,Balasore,58514
2006,Balasore,56849
2007,Balasore,66954
2008,Balasore,77630
2009,Balasore,74446
2010,Balasore,76392
2011,Balasore,66161
2012,Balasore,48161
2013,Balasore,51922
2014,Balasore,77073
2015,Balasore,62521
2016,Balasore,68081
2017,Balasore,60608
1966,Bolangir,261
1967,Bolangir,737
1968,Bolangir,1028
1969,Bolangir,1014
1970,Bolangir,1131
1971,Bolangir,358
1972,Bolangir,2412
1973,Bolangir,3904
1974,Bolangir,2553
1975,Bolangir,3946
1976,Bolangir,3367
1977,Bolangir,3674
1978,Bolangir,5767
1979,Bolangir,4889
1980,Bolangir,5050
1981,Bolangir,5189
1982,Bolangir,4619
1983,Bolangir,5459
1984,Bolangir,5741
1985,Bolangir,7937
1986,Bolangir,6121
1987,Bolangir,6774
1988,Bolangir,13669
1989,Bolangir,11257
1990,Bolangir,8844
1991,Bolangir,8523
1992,Bolangir,8541
1993,Bolangir,7898
1994,Bolangir,6880
1995,Bolangir,8438
1996,Bolangir,10690
1997,Bolangir,14300
1998,Bolangir,12421
1999,Bolangir,14898
2000,Bolangir,15667
2001,Bolangir,17964
2002,Bolangir,12994
2003,Bolangir,14617
2004,Bolangir,15596
2005,Bolangir,19229
2006,Bolangir,21001
2007,Bolangir,24114
2008,Bolangir,29052
2009,Bolangir,32796
2010,Bolangir,31972
2011,Bolangir,31155
2012,Bolangir,31549
2013,Bolangir,32733
2014,Bolangir,51188
2015,Bolangir,31265
2016,Bolangir,40297
2017,Bolangir,34925
1966,Cuttack,3562
1967,Cuttack,4110
1968,Cuttack,4902
1969,Cuttack,5426
1970,Cuttack,5849
1971,Cuttack,11969
1972,Cuttack,15045
1973,Cuttack,12884
1974,Cuttack,7909
1975,Cuttack,9919
1976,Cuttack,14520
1977,Cuttack,16415
1978,Cuttack,15281
1979,Cuttack,14244
1980,Cuttack,16274
1981,Cuttack,16136
1982,Cuttack,15709
1983,Cuttack,14342
1984,Cuttack,16210
1985,Cuttack,16313
1986,Cuttack,21291
1987,Cuttack,21372
1988,Cuttack,34391
1989,Cuttack,29031
1990,Cuttack,23671
1991,Cuttack,25680
1992,Cuttack,28544
1993,Cuttack,33322
1994,Cuttack,36583
1995,Cuttack,33656
1996,Cuttack,37710
1997,Cuttack,41690
1998,Cuttack,43866
1999,Cuttack,47877
2000,Cuttack,38153
2001,Cuttack,41195
2002,Cuttack,34223
2003,Cuttack,32281
2004,Cuttack,36647
2005,Cuttack,40159
2006,Cuttack,43427
2007,Cuttack,48206
2008,Cuttack,76546
2009,Cuttack,58505
2010,Cuttack,52977
2011,Cuttack,50550
2012,Cuttack,47384
2013,Cuttack,46912
2014,Cuttack,46738
2015,Cuttack,56024
2016,Cuttack,58555
2017,Cuttack,57191
1966,Dhenkanal,432
1967,Dhenkanal,521
1968,Dhenkanal,439
1969,Dhenkanal,446
1970,Dhenkanal,460
1971,Dhenkanal,870
1972,Dhenkanal,862
1973,Dhenkanal,2937
1974,Dhenkanal,3809
1975,Dhenkanal,1593
1976,Dhenkanal,2170
1977,Dhenkanal,2011
1978,Dhenkanal,2516
1979,Dhenkanal,1778
1980,Dhenkanal,1980
1981,Dhenkanal,2180
1982,Dhenkanal,2771
1983,Dhenkanal,3818
1984,Dhenkanal,3776
1985,Dhenkanal,4580
1986,Dhenkanal,5153
1987,Dhenkanal,4823
1988,Dhenkanal,8769
1989,Dhenkanal,8308
1990,Dhenkanal,7845
1991,Dhenkanal,7281
1992,Dhenkanal,7828
1993,Dhenkanal,7107
1994,Dhenkanal,7205
1995,Dhenkanal,7602
1996,Dhenkanal,8303
1997,Dhenkanal,12460
1998,Dhenkanal,10857
1999,Dhenkanal,12301
2000,Dhenkanal,11671
2001,Dhenkanal,12458
2002,Dhenkanal,10481
2003,Dhenkanal,12033
2004,Dhenkanal,12835
2005,Dhenkanal,13279
2006,Dhenkanal,13243
2007,Dhenkanal,15567
2008,Dhenkanal,16953
2009,Dhenkanal,18487
2010,Dhenkanal,15417
2011,Dhenkanal,14148
2012,Dhenkanal,12581
2013,Dhenkanal,13555
2014,Dhenkanal,15643
2015,Dhenkanal,15555
2016,Dhenkanal,14739
2017,Dhenkanal,12989
1966,Ganjam,4997
1967,Ganjam,4917
1968,Ganjam,4140
1969,Ganjam,4744
1970,Ganjam,4194
1971,Ganjam,14063
1972,Ganjam,9539
1973,Ganjam,10415
1974,Ganjam,9541
1975,Ganjam,9611
1976,Ganjam,10057
1977,Ganjam,14220
1978,Ganjam,11624
1979,Ganjam,3006
1980,Ganjam,11351
1981,Ganjam,12896
1982,Ganjam,17337
1983,Ganjam,15942
1984,Ganjam,17656
1985,Ganjam,23958
1986,Ganjam,19028
1987,Ganjam,16653
1988,Ganjam,30564
1989,Ganjam,30593
1990,Ganjam,30621
1991,Ganjam,26298
1992,Ganjam,30742
1993,Ganjam,30240
1994,Ganjam,24803
1995,Ganjam,26801
1996,Ganjam,31893
1997,Ganjam,31370
1998,Ganjam,32110
1999,Ganjam,32676
2000,Ganjam,34947
2001,Ganjam,35495
2002,Ganjam,33507
2003,Ganjam,37243
2004,Ganjam,36011
2005,Ganjam,38478
2006,Ganjam,37371
2007,Ganjam,39472
2008,Ganjam,45323
2009,Ganjam,44694
2010,Ganjam,50084
2011,Ganjam,38614
2012,Ganjam,49232
2013,Ganjam,43151
2014,Ganjam,36406
2015,Ganjam,44946
2016,Ganjam,38016
2017,Ganjam,41154
1966,Kalahandi,140
1967,Kalahandi,251
1968,Kalahandi,147
1969,Kalahandi,14
1970,Kalahandi,252
1971,Kalahandi,236
1972,Kalahandi,492
1973,Kalahandi,620
1974,Kalahandi,822
1975,Kalahandi,399
1976,Kalahandi,358
1977,Kalahandi,349
1978,Kalahandi,372
1979,Kalahandi,434
1980,Kalahandi,411
1981,Kalahandi,991
1982,Kalahandi,734
1983,Kalahandi,773
1984,Kalahandi,852
1985,Kalahandi,1262
1986,Kalahandi,1392
1987,Kalahandi,1965
1988,Kalahandi,3129
1989,Kalahandi,4517
1990,Kalahandi,5905
1991,Kalahandi,7129
1992,Kalahandi,7738
1993,Kalahandi,6603
1994,Kalahandi,7513
