Year,District,ANNUAL RAINFALL (Millimeters)
2003,Seoni / Shivani,1383.2
2004,Seoni / Shivani,753.8
2005,Seoni / Shivani,1449.1
2006,Seoni / Shivani,1322.5
2007,Seoni / Shivani,966.7
2008,Seoni / Shivani,942.9
2009,Seoni / Shivani,889.1
2012,Seoni / Shivani,1118.5
2013,Seoni / Shivani,1734.7
2014,Seoni / Shivani,880.3
2015,Seoni / Shivani,1013.7
1966,Mandla,982.1
1967,Mandla,1617.9
1968,Mandla,1392.1
1969,Mandla,1269
1970,Mandla,1671.3
1971,Mandla,1804.9
1972,Mandla,1153.5
1973,Mandla,1692.5
1974,Mandla,1103.2
1975,Mandla,1677.3
1976,Mandla,1008.1
1977,Mandla,1497.5
1978,Mandla,1352.1
1979,Mandla,829.1
1980,Mandla,1382.2
1981,Mandla,1224.8
1982,Mandla,1202.2
1983,Mandla,1472
1984,Mandla,1326.2
1985,Mandla,1479.1
1986,Mandla,1177.4
1987,Mandla,1333.7
1988,Mandla,1433.4
1989,Mandla,960.5
1990,Mandla,1858.3
1991,Mandla,1373.1
1992,Mandla,1070.5
1993,Mandla,1299.8
1994,Mandla,1992.8
1995,Mandla,1358.1
1996,Mandla,1131.4
1997,Mandla,1550
1998,Mandla,1246.3
1999,Mandla,1586.7
2000,Mandla,839.9
2001,Mandla,1402.3
2002,Mandla,990.8
2003,Mandla,1489.5
2004,Mandla,1164.1
2005,Mandla,1477.5
2006,Mandla,1139.7
2007,Mandla,1173.9
2008,Mandla,1503.5
2009,Mandla,836.9
2012,Mandla,1387.9
2013,Mandla,1828.1
2014,Mandla,1229.1
2015,Mandla,1195.8
1966,Sagar,909.4
1967,Sagar,982
1968,Sagar,741.8
1969,Sagar,1581.2
1970,Sagar,1240.6
1971,Sagar,1428.2
1972,Sagar,1050.4
1973,Sagar,1593
1974,Sagar,1157.8
1975,Sagar,1365.5
1976,Sagar,1013.4
1977,Sagar,1376.1
1978,Sagar,1261.9
1979,Sagar,802.3
1980,Sagar,1226.8
1981,Sagar,671.2
1982,Sagar,1456
1983,Sagar,1416.2
1984,Sagar,941.5
1985,Sagar,1219
1986,Sagar,940.7
1987,Sagar,1095
1988,Sagar,903.6
1989,Sagar,728.1
1990,Sagar,1489.6
1991,Sagar,1103.8
1992,Sagar,935.4
1993,Sagar,1191.5
1994,Sagar,1653.5
1995,Sagar,1101.4
1996,Sagar,920.8
1997,Sagar,1291.9
1998,Sagar,1060.5
1999,Sagar,1898.9
2000,Sagar,943.2
2001,Sagar,1049.2
2002,Sagar,862.2
2003,Sagar,1708.5
2004,Sagar,1070.7
2005,Sagar,1644.6
2006,Sagar,1040.1
2007,Sagar,746.5
2008,Sagar,1026.3
2009,Sagar,975.5
2012,Sagar,912.3
2013,Sagar,1934.5
2014,Sagar,865.5
2015,Sagar,765.7
1966,Damoh,886.2
1967,Damoh,1608.6
1968,Damoh,1012.1
1969,Damoh,1411.9
1970,Damoh,854.4
1971,Damoh,1737.7
1972,Damoh,949.8
1973,Damoh,1173.2
1974,Damoh,938.6
1975,Damoh,1103.7
1976,Damoh,920.4
1977,Damoh,1215.4
1978,Damoh,1516.4
1979,Damoh,569.2
1980,Damoh,1372
